Hours,contact_10wet,contact_10dry,20_10wet,40_10wet,60_10wet,20_10dry,40_10dry,60_10dry
1.23333333,520.5125353,658.95,41.46385765,27.93333333,24.76666667,61.4,25,22.5
1.25,517.9882586,652.9,41.66787179,27.93333333,24.73333333,61.55,25,22.45
1.26666667,515.5582045,648.35,41.97187596,27.93333333,24.73333333,61.75,25.15,22.45
1.28333333,513.0864631,643.85,42.1623732,28.06666667,24.76666667,61.9,25.25,22.5
1.3,510.5659921,641.4,42.41636257,28,24.7,62.15,25.3,22.5
1.31666667,508.0040695,640.8,42.67034505,28.06666667,24.7,62.3,25.45,22.5
1.33333333,505.6787666,644.85,42.91082809,28.13333333,24.7,62.45,25.55,22.5
1.35,503.254532,643.5,43.16480135,28.2,24.76666667,62.65,25.6,22.55
1.36666667,500.8313441,639.4,43.35527885,28.2,24.66666667,62.8,25.7,22.55
1.38333333,498.3167318,634,43.59575483,28.3,23.13333333,62.95,25.85,22.55
1.4,495.8532411,630.6,43.78622982,28.4,23.1,63.15,25.95,22.6
1.41666667,493.4831714,626.7,44.09019585,28.43333333,23.03333333,63.3,26,22.5
1.43333333,490.9717814,622.95,44.28067059,28.46666667,23.23333333,63.5,26.1,22.55
1.45,488.6114294,618.75,44.47114614,28.46666667,23.03333333,63.65,26.25,22.6
1.46666667,486.1520853,615.15,44.66162305,28.5,23.23333333,63.8,26.35,22.6
1.48333333,483.6437186,609.85,44.90210186,28.56666667,23.23333333,63.95,26.45,22.6
1.5,481.2362979,604.3,45.07908907,28.63333333,23.26666667,64.1,26.55,22.6
1.51666667,478.8297912,603.1,45.31957231,28.66666667,23.16666667,64.25,26.7,22.65
1.53333333,476.3241655,600.95,45.46005898,28.66666667,23.2,64.4,26.75,22.65
1.55,474.3193872,599.4,45.58705227,28.73333333,23.26666667,64.55,26.85,22.65
1.56666667,471.815422,599.05,45.72754592,28.73333333,23.23333333,64.7,27,22.65
1.58333333,468.7204131,594.75,45.96804452,28.76666667,23.2,64.75,27.1,22.65
1.6,466.2762285,588.6,46.09504665,28.9,23.2,64.95,27.25,22.65
1.61666667,463.3324318,583.1,46.23555484,28.9,23.16666667,65.05,27.3,22.65
1.63333333,460.5649291,577.7,46.41256389,28.93333333,23.3,65.2,27.5,22.65
1.65,457.881617,574.25,46.60308332,29,23.33333333,65.3,27.55,22.7
1.66666667,455.2489926,569.2,46.73010042,29.03333333,23.33333333,65.45,27.65,22.7
1.68333333,452.7085858,565.9,46.85712105,29.06666667,23.16666667,65.6,27.8,22.75
1.7,450.0271412,573.05,46.9841454,29.1,23.1,65.65,27.85,22.7
1.71666667,447.4877514,566.45,47.17468926,29.16666667,23.23333333,65.8,28,22.7
1.73333333,444.9487799,556.55,47.18820593,29.16666667,23.36666667,65.9,28.05,22.7
1.75,442.410175,550.35,47.31524249,29.16666667,23.36666667,66.05,28.15,22.75
1.76666667,439.8718837,548.25,47.44228348,29.3,23.26666667,66.15,28.3,22.75
1.78333333,437.425322,544.7,47.51932909,29.36666667,23.26666667,66.25,28.35,22.7
1.8,434.9289467,541.3,47.6463795,29.43333333,23.2,66.3,28.45,22.75
1.81666667,432.341256,537.9,47.7734349,29.5,23.26666667,66.45,28.6,22.75
1.83333333,429.8951141,534.85,47.85049546,29.5,23.16666667,66.55,28.65,22.8
1.85,427.3575611,532.05,48.02756138,29.6,23.23333333,66.6,28.85,22.8
1.86666667,424.9528969,528.85,48.09109641,29.66666667,23.4,66.7,28.9,22.85
1.88333333,422.5067207,525.4,48.16817071,29.73333333,23.46666667,66.8,29.1,22.85
1.9,420.1018952,521.75,48.08171003,29.76666667,23.33333333,66.9,29.15,22.85
1.91666667,417.6969243,518.55,48.05879313,29.86666667,23.4,66.95,29.25,22.85
1.93333333,415.341763,515.15,48.03588232,30,23.46666667,67.05,29.4,22.85
1.95,412.8948635,511.85,47.79942926,30.13333333,23.53333333,67.1,29.5,22.9
1.96666667,410.5391662,508.55,47.52652796,30.3,23.63333333,67.2,29.6,22.9
1.98333333,407.9915949,505.35,61.18015951,29.35,22.9,67.25,29.6,22.9
2,405.7767294,502,61.30726644,29.45,22.9,67.35,29.75,22.9
2.01666667,403.4783013,498.8,61.56149046,29.4,22.8,67.35,29.85,22.9
2.03333333,401.3958224,495.7,61.68860766,29.5,22.85,67.4,29.95,22.9
