Hours,contact_100dry,20cm_100dry,40cm_100dry,60cm_100dry,contact_100wet,20cm_100wet,40cm_100wet,60cm_100wet
1.35,604.15,65.9,30.4,26.9,739.5,73.25,40.05,21.79038454
1.37,601.75,66.3,30.45,26.9,736.2333333,73.2,40.25,21.85705121
1.38,599.65,66.7,30.6,26.9,732.9333333,74.25,40.35,21.85705121
1.40,597.75,67.1,30.75,26.95,729.6666667,74.65,40.55,21.80738798
1.42,594.9,67.4,30.85,27,726.3666667,75.4,40.65,21.69105942
1.43,592.4,67.8,30.8,27,723.3,76.4,40.75,21.69105942
1.45,590.25,67.9,30.9,27,720.2333333,77.1,40.95,21.64139888
1.47,588,68.4,30.95,27.05,717.0666667,77.45,41,21.67473221
1.48,586,68.8,31,27.05,713.8333333,78.25,41.2,21.67473221
1.50,584.1,69,31.05,27.1,710.8,78.8,41.2,21.67473221
1.52,581.8,69.3,31.2,27.15,707.6,79.55,41.4,21.67473221
1.53,579.1,69.6,31.25,27.15,704.4666667,79.65,41.5,21.67473221
1.55,577.4,69.8,31.3,27.15,701.3333333,80.05,41.6,21.69105942
1.57,575.4,70.1,31.3,27.15,698.3,81.15,41.7,21.72439275
1.58,573.2,70.2,31.3,27.15,695.3,82.05,41.8,21.80738798
1.60,571.05,70.4,31.25,27.15,692.1666667,82.8,41.9,21.80738798
1.62,569.1,70.6,31.15,27.15,689.0333333,83.15,42,21.84072131
1.63,567.1,70.8,31.05,27.15,686.1,84.15,42.1,21.80738798
1.65,565.05,70.9,31.25,27.15,682.9333333,84.8,42.25,21.80738798
1.67,562.7,71.2,31.2,27.2,680.0666667,84.45,42.35,21.84072131
1.68,561.1,71.2,31,27.1,677.0666667,85.35,42.45,21.80738798
1.70,558.65,71.5,31.45,27.2,674.1666667,84.7,42.6,21.84072131
1.72,556.7,71.6,31.35,27.2,671.2333333,84.65,42.7,21.75772608
1.73,554.8,71.7,31.5,27.2,668.3333333,85.7,42.7,21.85772608
1.75,552.7,71.9,31.6,27.25,665.4,88.45,42.85,21.84139888
1.77,551.6,71.9,31.5,27.25,662.6333333,87.85,43,21.92439275
1.78,549.65,72,31.6,27.2,659.7666667,87.55,43.05,21.84139888
1.80,547.35,72.2,31.75,27.25,657.0333333,86.55,43.15,21.84139888
1.82,545.15,72.3,31.7,27.3,654.2666667,88.6,43.25,21.87473221
1.83,542.05,72.4,31.6,27.25,651.3,88.25,43.3,21.84139888
1.85,540.9,72.5,31.75,27.25,648.5333333,88.9,43.4,21.75840639
1.87,538.6,72.6,31.6,27.25,645.8,88.8,43.55,21.87473221
1.88,536.15,72.8,31.7,27.25,643,89.15,43.65,21.79173973
1.90,534.65,72.9,31.8,27.35,640.1666667,88.55,43.75,21.87473221
1.92,533.05,72.7,31.7,27.35,637.6333333,89.25,43.85,21.85840639
1.93,530.75,73.1,31.9,27.35,634.8333333,88.9,43.9,21.82507306
1.95,529.4,73,31.95,27.4,632.2,89.4,43.95,21.82507306
1.97,527.55,73.1,31.95,27.4,629.4333333,89.35,44,21.82507306
1.98,525.55,73.2,32,27.4,626.8,89.3,44.1,21.89173973
2.00,524.7,73.2,32.05,27.4,624.1,89.3,44.15,21.85840639
2.02,521.45,73.3,31.95,27.45,621.5666667,90.9,44.2,21.90806555
2.03,520.2,73.3,31.7,27.4,618.7666667,89.9,44.25,21.87473221
2.05,518.25,73.3,32.1,27.45,616.1333333,89.85,44.35,21.87473221
2.07,515.65,73.3,32.1,27.45,613.5,90.05,44.35,21.87473221
2.08,514.75,73.5,32.1,27.45,610.9333333,90.3,44.4,21.87473221
2.10,512.4,73.6,32.2,27.5,608.3333333,90.25,44.45,21.90806555
2.12,511,73.5,32.2,27.5,605.7666667,89.9,44.5,21.90806555
2.13,508.8,73.6,32.2,27.55,603.2666667,89.8,44.65,21.87541532
2.15,507.25,73.5,32.25,27.5,600.6666667,89.7,44.7,21.84208198
2.17,506.15,73.7,32.4,27.6,598.0333333,89.25,44.7,21.90874865
2.18,504.25,73.6,32.4,27.6,595.5,89.45,44.8,21.84208198
2.20,502.6,73.6,32.4,27.55,592.9333333,89.7,44.85,21.92507306
2.22,501.1,73.7,32.35,27.55,590.4333333,89.35,44.9,21.87541532
2.23,498,73.8,32.3,27.6,588.0333333,88.85,44.95,21.87541532
2.25,497.3,73.7,32.4,27.6,585.5,88.75,45,21.87541532
2.27,495.55,73.6,32.45,27.65,582.9666667,89.1,45,21.90874865
2.28,493.85,73.7,32.4,27.6,580.5333333,88.6,45.15,21.92507306
2.30,492.05,73.6,32.6,27.65,578.1,88.35,45.15,21.82575901
2.32,490.3,73.6,32.55,27.65,575.6333333,88.3,45.3,21.82575901
2.33,488.55,73.7,32.6,27.7,573.6666667,88.35,45.3,21.89242568
2.35,486.9,73.7,32.6,27.7,571.4,88.35,45.35,21.92575901
2.37,485.1,73.8,32.6,27.7,569.0333333,88.55,45.3,21.95840639
2.38,483.7,73.6,32.7,27.7,566.7,88.4,45.3,22.07473221
2.40,482.3,73.6,32.7,27.7,564.3333333,88.45,45.35,22.07473221
2.42,480.1,73.6,32.65,27.7,561.9666667,88.05,45.45,22.10806555
2.43,478.55,73.6,32.75,27.75,559.6333333,87.75,45.55,22.04139888
2.45,476.6,73.5,32.75,27.75,557.2666667,87.6,45.45,22.07473221
2.47,474.95,73.5,32.85,27.75,555.0333333,87.45,45.5,22.10806555
2.48,473.25,73.5,32.85,27.75,552.7666667,87.15,45.65,21.97541532
2.50,471.55,73.5,32.85,27.75,550.4333333,86.85,45.65,21.92575901
2.52,469.8,73.4,32.95,27.8,548.2333333,86.85,45.75,21.9094375
2.53,468.3,73.4,32.9,27.8,545.9,87.1,45.8,21.95909234
2.55,466.5,73.3,32.95,27.8,543.7333333,87,45.85,21.99242568
2.57,464.55,73.3,32.85,27.75,541.5,86.85,46,22.19105942
2.58,463,73.3,32.95,27.75,539.2333333,86.3,46.1,22.19105942
2.60,461.25,73.3,32.95,27.8,537,85.5,46.05,22.17473221
2.62,459.6,73.2,32.95,27.85,534.7666667,85.25,46.05,22.17473221
2.63,457.85,73.2,32.95,27.75,532.5666667,85.6,46.1,21.97610416
2.65,456.15,73.2,32.95,27.75,530.4333333,85.35,46.1,21.95978414
2.67,454.3,73.1,32.85,27.8,528.2,84.9,46.1,21.95978414
2.68,452.75,73,33,27.8,526.1,84.5,46.1,22.17541532
2.70,451.1,73,33,27.8,523.9333333,83.85,46.1,22.17541532
2.72,449.45,73,33.1,27.8,521.7333333,83.05,46.2,22.10874865
2.73,447.9,72.9,33.15,27.85,519.5666667,81.55,46.25,22.09242568
2.75,445.2,72.9,33.15,27.85,517.4666667,82.65,46.25,22.09242568
2.77,444.55,72.8,33.1,27.85,515.3666667,83.05,46.3,22.0094375
2.78,443.15,72.7,33.15,27.85,513.3333333,83.45,46.3,22.04277083
2.80,441.55,72.7,33.2,27.85,511.2666667,83.3,46.35,21.99311747
2.82,439.9,72.6,33.2,27.8,509.0666667,83.35,46.3,21.99311747
2.83,438.2,72.6,33.15,27.85,507,83.25,46.35,21.99311747
2.85,436.55,72.5,33.25,27.8,505,82.3,46.35,21.99311747
2.87,435.2,72.6,33.35,27.85,502.9,82.15,46.4,21.99311747
2.88,432.8,72.3,33.35,27.85,500.9333333,81.5,46.4,21.99311747
2.90,432.7,72.3,33.5,27.9,498.8,80.25,46.45,22.05978414
2.92,430.95,72.2,33.55,27.9,496.8666667,78.55,46.45,22.05978414
2.93,429.35,72.1,33.55,27.85,494.9,78.15,46.5,22.09311747
2.95,427.75,72.2,33.6,27.9,492.8666667,78.4,46.5,22.09311747
2.97,426.15,72.1,33.7,27.9,490.9333333,79.55,46.55,22.09311747
2.98,424.45,72,33.75,27.9,488.9333333,80.8,46.6,22.09311747
3.00,422.9,71.9,33.75,27.95,487,80.5,46.65,22.14277083
3.02,421.35,71.9,33.75,27.9,485,80.1,46.7,22.17610416
3.03,419.85,71.8,33.8,27.95,482.7333333,79.6,46.75,22.12645081
3.05,417.95,71.7,33.75,27.95,480.7333333,79.3,46.75,22.09311747
3.07,416.3,71.7,33.8,28,478.7666667,79.15,46.75,22.12645081
3.08,414.85,71.7,33.85,28,476.8333333,79.6,46.8,22.12645081
3.10,412.4,71.6,33.4,27.95,474.8666667,80.4,46.8,22.12645081
3.12,411.6,71.6,33.7,27.95,472.9,81.9,46.8,22.09311747
3.13,410.45,71.5,33.8,28,470.8666667,82.3,46.75,22.12645081
3.15,409.55,71.4,33.65,27.9,505.05,81.8,22.8,18.03967621
3.17,407.55,71.3,34,28.1,503,83.6,22.8,18.03967621
