Hours,contact_100dry,20cm_100dry,40cm_100dry,60cm_100dry,contact_100wet,20cm_100wet,40cm_100wet,60cm_100wet
6.38,211.25,57.6,36.7,29.85,,,,
6.40,210.7,57.5,36.65,29.75,,,,
6.42,209.95,57.4,36.75,29.85,,,,
6.43,209.1,57.3,36.75,29.9,,,,
6.45,208.4,57.2,36.75,29.95,,,,
6.47,207.7,57.2,36.75,29.95,,,,
6.48,206.95,57.1,36.7,29.95,,,,
6.50,206.75,57,36.65,30,,,,
6.52,205.5,56.9,36.7,30.05,,,,
6.53,205.05,56.9,36.7,30.05,,,,
6.55,204.25,56.8,36.65,30.05,,,,
6.57,203.5,56.7,36.65,30.1,,,,
6.58,202.85,56.6,36.65,30.15,,,,
6.60,202.3,56.5,36.65,30.2,,,,
6.62,201.6,56.4,36.55,30.15,,,,
6.63,200.75,56.3,36.5,30.2,,,,
6.65,199.85,56.3,36.45,30.2,,,,
6.67,199.55,56.1,36.5,30.25,,,,
6.68,198.95,56.1,36.3,30.2,,,,
6.70,198.3,56,36.3,30.3,,,,
6.72,197.4,55.9,35.8,30.2,,,,
6.73,197.6,55.8,35.8,30.2,,,,
6.75,196.05,55.7,35.85,30.2,,,,
6.77,195.45,55.7,35.5,30.2,,,,
6.78,194.65,55.6,35.7,30.2,,,,
6.80,193.9,55.4,35.65,30.2,,,,
6.82,193.5,55.4,35.55,30.2,,,,
6.83,192.95,55.3,35.5,30.25,,,,
6.85,191.8,55.3,35.8,30.25,,,,
6.87,191.45,55.1,35.3,30.2,,,,
6.88,190.6,55.1,35.2,30.25,,,,
6.90,190.35,55,35.25,30.2,,,,
6.92,189.7,55.1,35.2,30.2,,,,
6.93,189,54.9,35.55,30.25,,,,
6.95,188.45,54.7,35.1,30.1,,,,
6.97,187.2,54.6,35,30.2,,,,
6.98,187.2,54.6,35,29.65,,,,
7.00,186.5,54.5,34.7,30.2,,,,
7.02,185.9,54.3,34.6,30.15,,,,
7.03,185.05,54.3,34.5,30.1,,,,
7.05,184.2,54.3,34.6,30.15,,,,
7.07,183.6,54.1,34.55,30.15,,,,
7.08,183.3,54,34.5,30.1,,,,
7.10,182.45,53.9,34.45,30.1,,,,
7.12,181.95,53.1,34.5,30.2,,,,
7.13,181.45,53.7,34.35,30.15,,,,
7.15,181,53.6,34.4,30.15,,,,
7.17,180.25,53.6,34.35,30.1,,,,
7.18,179.45,53.5,34.3,30.1,,,,
7.20,179.2,53.4,34.3,30.1,,,,
7.22,178.15,53.2,34.1,30.1,,,,
7.23,178.2,53.2,34.1,30.1,,,,
7.25,177.15,53.1,34.15,30.1,,,,
7.27,176.55,53.1,34.15,30.1,,,,
7.28,176.05,52.9,34.15,30.1,,,,
7.30,175.7,53,34.05,30.1,,,,
7.32,174.45,52.9,33.95,30.1,,,,
7.33,174.5,52.7,34.05,30.1,,,,
7.35,173.85,52.6,34.05,30.1,,,,
7.37,173.25,52.5,34,30.05,,,,
7.38,172.2,52.4,34.05,30.05,,,,
7.40,172.2,52.3,33.9,30.1,,,,
7.42,171.65,52.3,33.95,30.05,,,,
7.43,170.85,52.2,34.35,30.05,,,,
7.45,170,52.3,34.75,30.15,,,,
7.47,169.2,51.9,34.6,30.1,,,,
7.48,169.3,51.9,34.4,30.1,,,,
7.50,168.35,51.9,34.35,30.1,,,,
7.52,168.1,51.7,34.35,30.05,,,,
7.53,167.55,51.6,34.35,30.05,,,,
7.55,167,51.6,34.3,30.05,,,,
7.57,166.25,51.4,34.65,30.1,,,,
7.58,166.15,51.4,34.65,30.15,,,,
7.60,165.5,51.3,34.6,30.1,,,,
7.62,164.75,51.2,34.55,30.05,,,,
7.63,164.45,51.1,35.35,30.2,,,,
7.65,163.65,51,34.6,30.05,,,,
7.67,163.45,50.9,34.45,30.05,,,,
7.68,162.85,51,34.4,30,,,,
7.70,162.25,50.8,34.4,30.05,,,,
7.72,161.95,50.9,34.45,30,,,,
7.73,161.15,50.6,34.4,30,,,,
7.75,160.75,50.5,34.4,30,,,,
7.77,159.9,50.5,34.35,30,,,,
7.78,159.75,50.3,34.35,29.95,,,,
7.80,158.7,50.3,34.3,29.95,,,,
7.82,158.7,50.1,34.4,29.95,,,,
7.83,158.1,50,34.2,29.95,,,,
7.85,157.8,50,34.15,29.95,,,,
7.87,157.05,49.9,34.1,29.9,,,,
7.88,156.3,49.8,34.1,29.9,,,,
7.90,156.25,49.8,34.1,29.85,,,,
7.92,155.05,49.7,34.05,29.85,,,,
7.93,154.75,49.5,34,29.85,,,,
7.95,154.1,49.4,34,29.8,,,,
7.97,153.85,49.3,33.95,29.8,,,,
7.98,153.75,49.3,33.9,29.8,,,,
8.00,153,49.2,33.9,29.8,,,,
8.02,152.9,49.1,33.85,29.75,,,,
8.03,152.2,49,33.85,29.75,,,,
8.05,151.9,49.1,33.75,29.7,,,,
8.07,151.45,48.9,33.75,29.7,,,,
8.08,150.95,48.8,33.75,29.7,,,,
8.10,150.45,48.7,33.7,29.7,,,,
8.12,149.75,48.6,33.65,29.65,,,,
8.13,149.25,48.6,33.6,29.6,,,,
8.15,149,48.4,33.65,29.65,,,,
8.17,148.2,48.4,33.55,29.6,,,,
8.18,147.9,48.4,33.5,29.6,,,,
8.20,147.7,48.2,33.5,29.6,,,,
8.22,147.2,48.2,33.4,29.55,,,,
8.23,146.95,48.1,33.4,29.5,,,,
8.25,146.4,48.1,33.15,29.3,,,,
8.27,145.7,47.8,33.1,29.25,,,,
8.28,145.15,47.8,33.1,29.3,,,,
8.30,144.35,47.8,32.95,29.2,,,,
8.32,144.35,47.7,32.75,28.9,,,,
8.33,143.85,47.5,32.85,29.1,,,,
8.35,143.15,47.4,32.9,29.2,,,,
8.37,142.95,47.4,33,29.25,,,,
8.38,142.6,47.2,32.9,29.25,,,,
8.40,142,47.3,32.9,29.2,,,,
8.42,141.4,47.1,32.9,29.15,,,,
8.43,141.35,47,32.95,29.2,,,,
8.45,141,47,32.85,29.25,,,,
8.47,140.45,46.9,32.9,29.25,,,,
8.48,139.75,46.7,32.85,29.2,,,,
8.50,139.35,46.7,32.8,29.15,,,,
8.52,139.1,46.7,32.85,29.2,,,,
8.53,138.55,46.7,32.9,29.25,,,,
8.55,138,46.5,32.9,29.25,,,,
8.57,137.7,46.5,32.85,29.25,,,,
8.58,137.2,46.4,32.75,29.2,,,,
8.60,136.55,46.3,32.75,29.2,,,,
8.62,136.5,46.2,32.7,29.2,,,,
8.63,136.15,46.1,32.6,29.05,,,,
8.65,135.15,46,32.65,29.05,,,,
8.67,135,46,32.65,29.05,,,,
8.68,134.8,45.9,32.6,29.05,,,,
8.70,134.55,45.9,32.55,29.05,,,,
8.72,134.25,45.7,32.5,29.05,,,,
8.73,133.75,45.7,32.45,29,,,,
8.75,132.75,45.7,32.45,28.95,,,,
8.77,132.8,45.5,32.45,28.95,,,,
8.78,132.35,45.4,32.4,28.9,,,,
8.80,131.65,45.4,32.3,28.9,,,,
8.82,131.15,45.3,32.3,28.9,,,,
8.83,131.15,45.3,32.25,28.85,,,,
8.85,130.5,45.2,32.2,28.85,,,,
8.87,130.25,45,32.15,28.8,,,,
8.88,130,45,32.1,28.8,,,,
8.90,129.45,44.9,32.15,28.8,,,,
8.92,128.8,45,32.05,28.75,,,,
8.93,128.65,44.8,32,28.75,,,,
8.95,128.4,44.8,31.95,28.7,,,,
8.97,128.15,44.7,32,28.65,,,,
8.98,127.55,44.7,31.95,28.65,,,,
9.00,127.25,44.6,31.95,28.65,,,,
9.02,126.85,44.5,31.9,28.65,,,,
9.03,126.6,44.4,31.9,28.65,,,,
9.05,126.65,44.4,31.95,28.65,,,,
9.07,125.75,44.3,32.05,28.65,,,,
9.08,125.2,44.2,31.9,28.6,,,,
9.10,124.8,44.2,31.9,28.6,,,,
9.12,124.7,44.1,31.8,28.55,,,,
9.13,124,44.1,31.8,28.55,,,,
9.15,123.6,43.9,31.75,28.5,,,,
9.17,123.05,43.8,31.7,28.5,,,,
9.18,123.1,43.8,31.7,28.45,,,,
9.20,122.7,43.7,31.65,28.4,,,,
9.22,121.75,43.6,31.65,28.45,,,,
9.23,122.25,43.4,31.6,28.4,,,,
9.25,121.4,43.5,31.55,28.4,,,,
9.27,121.25,43.4,31.55,28.4,,,,
9.28,120.9,43.4,31.55,28.4,,,,
9.30,120.25,43.4,31.5,28.3,,,,
9.32,119.85,43.4,31.45,28.3,,,,
9.33,119.3,43.2,31.45,28.3,,,,
9.35,119.6,43.2,31.4,28.3,,,,
9.37,119.1,43.1,31.4,28.25,,,,
9.38,118.5,43,31.4,28.25,,,,
9.40,118.5,42.9,31.3,28.25,,,,
9.42,118.15,42.8,31.3,28.25,,,,
9.43,117.75,42.9,31.25,28.15,,,,
9.45,116.7,42.8,31.15,28.15,,,,
9.47,116.85,42.7,31.2,28.15,,,,
9.48,116.05,42.5,31.2,28.15,,,,
9.50,116.45,42.5,31.2,28.15,,,,
9.52,116.05,42.6,31.1,28.1,,,,
9.53,115.9,42.4,31.2,28.1,,,,
9.55,115.05,42.3,31.1,28.05,,,,
9.57,114.55,42.2,31.15,28.05,,,,
9.58,114.55,42.2,31.15,28.05,,,,
9.60,114,42.2,31.05,28,,,,
9.62,113.65,42.1,31.05,28,,,,
9.63,113.3,42.1,31.05,27.95,,,,
9.65,113.15,42.1,31,27.95,,,,
9.67,112.7,41.9,31,27.95,,,,
9.68,112.4,41.9,30.95,27.9,,,,
9.70,112.1,41.7,30.95,27.9,,,,
9.72,111.4,41.8,30.9,27.9,,,,
9.73,111.3,41.7,30.9,27.85,,,,
9.75,111.25,41.6,30.85,27.85,,,,
9.77,111,41.5,30.85,27.85,,,,
9.78,110.5,41.5,30.8,27.8,,,,
9.80,109.85,41.5,30.8,27.75,,,,
9.82,109.95,41.3,30.8,27.8,,,,
9.83,109.4,41.3,30.75,27.75,,,,
9.85,109.4,41.3,30.75,27.75,,,,
9.87,109.1,41.1,30.7,27.75,,,,
9.88,108.6,41.2,30.7,27.7,,,,
9.90,108.35,41.2,30.6,27.7,,,,
9.92,107.65,41,30.6,27.65,,,,
9.93,107.75,41,30.7,27.65,,,,
9.95,107.35,40.9,30.6,27.65,,,,
9.97,106.55,40.8,30.5,27.6,,,,
9.98,106.3,40.7,30.6,27.6,,,,
10.00,106.4,40.9,30.5,27.6,,,,
10.02,106.35,40.7,30.5,27.6,,,,
10.03,105.4,40.7,30.45,27.55,,,,
10.05,106,41,30.45,27.5,,,,
10.07,105.45,40.7,30.45,27.55,,,,
10.08,105.05,40.4,30.4,27.5,,,,
10.10,104.75,40.6,30.4,27.45,,,,
10.12,103.9,40.3,30.3,27.45,,,,
10.13,103.95,40.6,30.35,27.45,,,,
10.15,103.45,40.2,30.35,27.45,,,,
10.17,103.4,40.1,30.3,27.4,,,,
10.18,103.3,40,30.3,27.4,,,,
10.20,102.4,40,30.25,27.35,,,,
10.22,102.6,40.2,30.25,27.35,,,,
10.23,102.1,40,30.15,27.35,,,,
10.25,102.15,39.9,30.2,27.3,,,,
10.27,101.55,39.8,30.15,27.3,,,,
10.28,101.25,39.8,30.15,27.3,,,,
10.30,100.7,39.8,30.15,27.3,,,,
10.32,100.5,39.6,30.15,27.3,,,,
10.33,100.3,39.6,30.1,27.25,,,,
10.35,100.1,39.5,30.1,27.2,,,,
10.37,99.3,39.5,30.05,27.2,,,,
10.38,99,39.5,30.05,27.2,,,,
10.40,99,39.6,30.05,27.25,,,,
10.42,98.1,39.6,30.05,27.15,,,,
10.43,97.9,39.3,30.05,27.15,,,,
10.45,97.5,39.3,29.95,27.15,,,,
10.47,97.7,39.7,30,27.15,,,,
10.48,97.3,39.1,30.05,27.15,,,,
10.50,97.1,39.1,30,27.15,,,,
10.52,96.5,39.1,29.95,27.1,,,,
10.53,94.9,39,29.9,27.05,,,,
10.55,96.5,38.9,29.95,27.05,,,,
10.57,96.1,38.8,29.9,27.05,,,,
10.58,96,38.9,29.85,27,,,,
10.60,95.3,38.8,29.85,27,,,,
10.62,94.6,38.8,29.85,27,,,,
10.63,94.7,38.6,29.85,27,,,,
10.65,95.2,38.6,29.75,26.95,,,,
10.67,93.1,38.6,29.75,26.9,,,,
10.68,93.8,38.5,29.75,26.9,,,,
10.70,93.5,38.5,29.75,26.9,,,,
10.72,92.8,38.3,29.75,26.9,,,,
10.73,92.2,38.2,29.7,26.9,,,,
10.75,93.8,38.6,29.7,26.85,,,,
10.77,93,38.4,29.7,26.85,,,,
10.78,91.4,38.3,29.6,26.8,,,,
10.80,92,38.1,29.6,26.85,,,,
10.82,91.3,38.3,29.55,26.85,,,,
10.83,90.9,38.1,29.6,26.8,,,,
10.85,90.5,38.2,29.5,26.75,,,,
10.87,91.3,38,29.5,26.8,,,,
10.88,90,37.9,29.45,26.75,,,,
10.90,90.1,37.8,29.45,26.7,,,,
10.92,90.5,37.9,29.45,26.7,,,,
10.93,90.5,37.7,29.45,26.7,,,,
10.95,90,37.8,29.5,26.7,,,,
10.97,89,37.7,29.4,26.7,,,,
10.98,89.8,37.5,29.4,26.65,,,,
11.00,89.3,37.5,29.4,26.65,,,,
11.02,89,37.5,29.35,26.65,,,,
11.03,89.7,37.6,29.25,26.6,,,,
11.05,87.7,37.3,29.25,26.65,,,,
11.07,87.7,37.4,29.2,26.55,,,,
11.08,88,37.3,29.2,26.55,,,,
11.10,88.6,37.3,29.25,26.55,,,,
11.12,87.7,37.3,29.15,26.5,,,,
11.13,87.1,37.2,29.2,26.5,,,,
11.15,87,37.1,29.1,26.5,,,,
11.17,87.4,37.3,29.1,26.5,,,,
11.18,85.7,37.1,29.1,26.5,,,,
11.20,86.2,37,29.05,26.45,,,,
11.22,86.6,36.9,29.05,26.45,,,,
11.23,86.2,36.9,29,26.45,,,,
11.25,85.7,36.9,29.05,26.45,,,,
11.27,84.5,36.9,28.95,26.45,,,,
11.28,85.2,36.8,28.95,26.45,,,,
11.30,84.8,36.8,28.85,26.4,,,,
11.32,84.5,36.7,28.9,26.4,,,,
11.33,84.7,36.6,28.9,26.35,,,,
11.35,83.8,36.7,28.95,26.4,,,,
11.37,83.7,36.7,28.8,26.35,,,,
11.38,84.2,36.6,28.8,26.3,,,,
11.40,82.5,36.6,28.75,26.3,,,,
11.42,82.7,36.5,28.75,26.35,,,,
11.43,81.6,36.6,28.6,26.25,,,,
11.45,82.6,36.4,28.7,26.25,,,,
11.47,83.2,36.4,28.7,26.25,,,,
11.48,80.4,36.3,28.65,26.2,,,,
11.50,79.9,36.4,28.6,26.25,,,,
11.52,77.3,36.7,28.75,26.3,,,,
11.53,76.9,36.8,28.75,26.25,,,,
11.55,79.6,36.6,28.75,26.25,,,,
11.57,79.3,36.1,28.7,26.2,,,,
11.58,78.2,36.1,28.65,26.2,,,,
11.60,79.5,35.9,28.6,26.15,,,,
11.62,78.7,36.5,28.7,26.2,,,,
11.63,80.1,36.3,28.55,26.15,,,,
11.65,79.8,36,28.55,26.15,,,,
11.67,80.7,36.7,28.55,26.15,,,,
11.68,80.4,36.1,28.6,26.15,,,,
11.70,80.7,36,28.6,26.15,,,,
11.72,80.6,36,28.55,26.15,,,,
11.73,77.7,36,28.55,26.1,,,,
11.75,79.1,35.6,28.45,26.05,,,,
11.77,79.4,35.5,28.5,26.05,,,,
11.78,79.7,35.5,28.5,26.05,,,,
11.80,77.9,35.8,28.45,26,,,,
11.82,78.6,35.5,28.4,26,,,,
11.83,79.6,35.5,28.4,26,,,,
11.85,78.6,35.4,28.2,25.95,,,,
11.87,78.1,35.3,28.25,25.95,,,,
11.88,78.5,35.2,28.15,25.9,,,,
11.90,78,35.2,28.2,25.95,,,,
11.92,77.6,35.2,28.2,25.9,,,,
11.93,77.5,35.1,28.1,25.85,,,,
11.95,75.5,35.1,28.05,25.85,,,,
11.97,75.5,35.4,27.95,25.8,,,,
11.98,75.9,35.1,28.05,25.85,,,,
12.00,75,34.9,28,25.8,,,,
12.02,74.9,35,28.05,25.8,,,,
12.03,74,35.1,27.9,25.8,,,,
12.05,73.3,35,28.15,25.85,,,,
12.07,73.8,35,28.1,25.8,,,,
12.08,73.1,34.9,28,25.8,,,,
12.10,73.6,34.8,27.9,25.7,,,,
12.12,73.8,34.8,28,25.7,,,,
12.13,73.1,34.8,28.7,25.75,,,,
12.15,73.6,34.7,28.7,25.8,,,,
12.17,72.2,34.7,28.65,25.75,,,,
12.18,73.6,34.7,28.65,25.8,,,,
12.20,73.2,34.6,28.65,25.75,,,,
12.22,73,34.6,28.6,25.75,,,,
12.23,71.9,34.6,28.55,25.75,,,,
12.25,71.6,34.6,28.55,25.75,,,,
12.27,71.6,34.5,28.55,25.7,,,,
12.28,71,34.5,28.5,25.7,,,,
12.30,70.7,34.4,28.5,25.7,,,,
12.32,73.3,34.2,28.55,25.7,,,,
12.33,71.4,34.3,28.45,25.65,,,,
12.35,70.7,34.3,28.5,25.65,,,,
12.37,69.6,34.3,28.4,25.6,,,,
12.38,71.5,34.2,28.4,25.6,,,,
12.40,71.5,34.2,28.4,25.65,,,,
12.42,71.7,34.1,28.45,25.6,,,,
12.43,71.3,34.1,28.45,25.6,,,,
12.45,72.2,34,28.4,25.55,,,,
12.47,73.3,34,28.4,25.55,,,,
12.48,71.6,34,28.4,25.55,,,,
12.50,70.9,34,28.35,25.55,,,,
12.52,71,33.9,28.4,25.55,,,,
12.53,70.9,33.9,28.35,25.5,,,,
12.55,71.4,33.8,28.35,25.5,,,,
12.57,71.7,33.8,28.4,25.45,,,,
12.58,72,33.7,28.35,25.4,,,,
12.60,72.2,33.7,28.35,25.4,,,,
12.62,71.5,33.6,28.3,25.35,,,,
12.63,70.7,33.6,28.35,25.35,,,,
12.65,70,33.6,28.35,25.35,,,,
12.67,69.7,33.6,28.3,25.25,,,,
12.68,69.4,33.6,28.35,25.25,,,,
12.70,68.9,33.5,28.3,25.25,,,,
12.72,69.2,33.5,28.3,25.25,,,,
12.73,68.8,33.4,28.25,25.25,,,,
12.75,68.9,33.4,28.25,25.2,,,,
12.77,71,33.3,28.25,25.25,,,,
12.78,68.6,33.3,28.15,25.15,,,,
12.80,70,33.4,28.1,25.2,,,,
12.82,70,33.2,28.1,25.2,,,,
12.83,68.8,33.2,28,25.15,,,,
12.85,67.6,33.2,28,25.2,,,,
12.87,67.4,33.1,27.95,25.1,,,,
12.88,67,33.1,27.9,25.1,,,,
12.90,66.9,33.1,27.85,25.1,,,,
12.92,66.9,33,27.85,25.05,,,,
12.93,67,33,27.85,25.1,,,,
12.95,66.4,33,27.8,25,,,,
12.97,65.7,33,27.8,25,,,,
12.98,65.6,32.9,27.75,25,,,,
13.00,66.2,33,27.75,25,,,,
13.02,64.8,32.8,27.65,24.95,,,,
13.03,64.7,32.7,27.65,24.9,,,,
13.05,65.2,32.7,27.65,24.9,,,,
13.07,65.2,32.7,27.65,24.85,,,,
13.08,64.7,32.7,27.55,24.8,,,,
13.10,64.5,32.6,27.6,24.85,,,,
13.12,64.7,32.5,27.55,24.8,,,,
13.13,64.8,32.6,27.55,24.8,,,,
13.15,64.7,32.5,27.5,24.8,,,,
13.17,64.4,32.4,27.55,24.8,,,,
13.18,64.3,32.4,27.5,24.75,,,,
13.20,63.8,32.4,27.5,24.65,,,,
13.22,63.6,32.3,27.4,24.7,,,,
13.23,63.6,32.3,27.3,24.7,,,,
13.25,63.6,32.2,27.35,24.7,,,,
13.27,63.1,32.2,27.3,24.65,,,,
13.28,62.9,32,27.25,24.6,,,,
13.30,62.7,32.2,27.3,24.65,,,,
13.32,62.8,32.1,27.3,24.6,,,,
13.33,62.9,31.9,27.3,24.65,,,,
13.35,62.8,32,27.25,24.6,,,,
13.37,63.3,32,27.25,24.6,,,,
13.38,63.6,32,27.25,24.55,,,,
13.40,63.3,31.9,27.2,24.5,,,,
13.42,63.8,31.8,27.2,24.5,,,,
13.43,63.2,31.8,27.15,24.5,,,,
13.45,63.3,31.8,27.15,24.5,,,,
13.47,62.1,31.7,27.1,24.45,,,,
13.48,60.9,31.6,27.05,24.4,,,,
13.50,60.9,31.7,27.05,24.45,,,,
13.52,60.4,31.6,27,24.4,,,,
13.53,61.1,31.6,27.05,24.4,,,,
13.55,60,31.6,27,24.35,,,,
13.57,59.9,31.5,27,24.35,,,,
13.58,60.2,31.5,26.95,24.3,,,,
13.60,60.1,31.5,26.95,24.25,,,,
13.62,59.7,31.5,26.95,24.3,,,,
13.63,59.3,31.4,26.95,24.3,,,,
13.65,59.4,31.4,26.9,24.25,,,,
13.67,59.3,31.3,26.9,24.3,,,,
13.68,59.4,31.3,26.85,24.2,,,,
13.70,59.4,31.3,26.9,24.25,,,,
13.72,59.2,31.2,26.8,24.15,,,,
13.73,58.8,31.2,26.85,24.15,,,,
13.75,59.1,31.2,26.85,24.15,,,,
13.77,58.8,31.2,26.75,24.1,,,,
13.78,58.4,31.1,26.8,24.15,,,,
13.80,59,31.2,26.8,24.1,,,,
13.82,58.9,31.1,26.75,24.1,,,,
13.83,58.3,31,26.8,24.1,,,,
13.85,58.4,31,26.75,24,,,,
13.87,58.6,30.9,26.8,24.05,,,,
13.88,58,30.9,26.75,24,,,,
13.90,58,30.9,26.8,24.05,,,,
13.92,58,30.8,26.75,24,,,,
13.93,57.6,30.8,26.75,23.95,,,,
13.95,57.4,30.8,26.7,23.95,,,,
13.97,57.4,30.7,26.7,23.95,,,,
13.98,56.8,30.7,26.7,24,,,,
14.00,56.7,30.7,26.65,23.9,,,,
14.02,56.5,30.7,26.65,23.85,,,,
14.03,56.1,30.6,26.65,23.9,,,,
14.05,56.1,30.6,26.55,23.85,,,,
14.07,56,30.6,26.6,23.85,,,,
14.08,56,30.6,26.55,23.85,,,,
14.10,55.9,30.5,26.55,23.85,,,,
14.12,55.8,30.5,26.55,23.85,,,,
14.13,55.8,30.5,26.5,23.8,,,,
14.15,56,30.4,26.5,23.8,,,,
14.17,55.7,30.4,26.45,23.75,,,,
14.18,56,30.4,26.5,23.75,,,,
14.20,55.9,30.4,26.5,23.75,,,,
14.22,56,30.3,26.5,23.7,,,,
14.23,56.1,30.3,26.5,23.7,,,,
14.25,56.8,30.2,26.5,23.65,,,,
14.27,56.9,30.2,26.55,23.7,,,,
14.28,56.9,30.2,26.5,23.7,,,,
14.30,56.8,30.2,26.45,23.65,,,,
14.32,56.7,30.2,26.5,23.7,,,,
14.33,56.7,30.1,26.5,23.65,,,,
14.35,56.3,30.1,26.5,23.65,,,,
14.37,56,30.1,26.5,23.55,,,,
14.38,56.2,30.1,26.15,23.5,,,,
14.40,56,30,26.5,23.6,,,,
14.42,55.7,30,26.45,23.5,,,,
14.43,55.5,30,26.45,23.55,,,,
14.45,55.1,29.9,26.4,23.5,,,,
14.47,54.9,29.9,26.4,23.5,,,,
14.48,54.4,29.9,26.4,23.5,,,,
14.50,53.9,29.9,26.35,23.45,,,,
14.52,52.7,29.8,26.3,23.5,,,,
14.53,52.4,29.9,26.25,23.45,,,,
14.55,52.5,29.8,26.05,23.55,,,,
14.57,52.8,29.8,26.1,23.55,,,,
14.58,52.7,29.8,26,23.4,,,,
14.60,52.7,29.8,26,23.5,,,,
14.62,52.6,29.7,26,23.5,,,,
14.63,53.1,29.7,26,23.45,,,,
14.65,52.9,29.7,25.95,23.45,,,,
14.67,52.4,29.6,25.95,23.4,,,,
14.68,52.1,29.7,25.95,23.45,,,,
14.70,51.7,29.7,25.9,23.4,,,,
14.72,51,29.6,25.95,23.45,,,,
14.73,50.7,29.7,25.9,23.4,,,,
14.75,50.5,29.6,25.85,23.4,,,,
14.77,50.1,29.7,25.85,23.4,,,,
14.78,49.9,29.6,25.8,23.35,,,,
14.80,49.7,29.6,25.85,23.4,,,,
14.82,49.7,29.6,25.8,23.35,,,,
14.83,49.6,29.6,25.8,23.35,,,,
14.85,49.4,29.5,25.8,23.4,,,,
14.87,49.3,29.5,25.8,23.3,,,,
14.88,49,29.5,25.8,23.35,,,,
14.90,48.6,29.4,25.75,23.3,,,,
14.92,48.8,29.5,25.75,23.35,,,,
14.93,48.2,29.5,25.75,23.3,,,,
14.95,48.5,29.4,25.7,23.3,,,,
14.97,49.1,29.4,25.7,23.3,,,,
14.98,49.4,29.4,25.7,23.25,,,,
15.00,49.2,29.4,25.7,23.25,,,,
15.02,49.9,29.3,25.75,23.25,,,,
15.03,48.3,27.9,25.75,23.25,,,,
15.05,52.3,29.2,25.8,23.2,,,,
15.07,48.7,29.3,25.75,23.25,,,,
15.08,48.2,29.4,25.75,23.25,,,,
15.10,47.7,29.4,25.7,23.25,,,,
15.12,46.9,29.4,25.7,23.2,,,,
15.13,47.1,29.4,25.7,23.2,,,,
15.15,46.7,29.4,25.65,23.2,,,,
15.17,46.8,29.3,25.65,23.25,,,,
15.18,45.7,29.4,25.6,23.15,,,,
15.20,46.2,29.3,25.55,23.05,,,,
15.22,46.4,29.4,25.65,23.15,,,,
15.23,46.1,29.3,25.6,23.1,,,,
15.25,45.6,29.2,25.65,23.1,,,,
15.27,45.7,29.3,25.6,23.05,,,,
15.28,45.3,29.3,25.55,23.05,,,,
15.30,45.5,29.3,25.6,23.1,,,,
15.32,44.5,29.2,25.55,23.05,,,,
15.33,44.3,29.2,25.5,23.1,,,,
15.35,45,29.2,25.5,23.05,,,,
15.37,45.1,29.2,25.5,23.05,,,,
15.38,45.1,29.2,25.5,23.05,,,,
15.40,44.6,29.2,25.5,23,,,,
15.42,45.3,29.3,25.5,23.05,,,,
15.43,45.3,29.3,25.5,23,,,,
15.45,44.5,29.2,25.55,23,,,,
15.47,44,29.2,25.55,23.05,,,,
15.48,44.7,29.2,25.55,23,,,,
15.50,45,29.2,25.6,23,,,,
15.52,44,29.1,25.55,22.9,,,,
15.53,43.9,29.2,25.65,23,,,,
15.55,43.2,29.4,25.6,23,,,,
15.57,43.8,29.1,25.55,22.95,,,,
15.58,43.6,29.1,25.55,22.95,,,,
15.60,44.1,29.1,25.6,22.95,,,,
15.62,43.7,29.1,25.55,22.95,,,,
15.63,43.5,29,25.45,22.95,,,,
15.65,42.7,28.9,25.5,22.95,,,,
15.67,42.9,29,25.55,22.95,,,,
15.68,42.9,28.9,25.5,22.9,,,,
15.70,42.9,28.9,25.5,22.95,,,,
15.72,42.7,28.9,25.45,22.9,,,,
15.73,42.9,28.9,25.45,22.9,,,,
15.75,43.2,29,25.45,22.95,,,,
15.77,43.6,29,25.45,22.9,,,,
15.78,43.2,28.9,25.4,22.9,,,,
15.80,43.2,28.9,25.45,22.9,,,,
15.82,43,28.9,25.4,22.9,,,,
15.83,42.8,28.9,25.45,22.9,,,,
15.85,42.7,29,25.4,22.85,,,,
