time,contact_50fp,20cm_50fp,40cm_50fp,60cm_50fp,contact_50road,20cm_50road,40cm_50road,60cm_50road
8.95000179,192.3,45.4,32.6,25.8,172.9,38.3,15,9.7
8.96666846,191.9,45.4,32.6,25.8,172.2,38.4,15,9.6
8.98333513,191.5,45.4,32.6,25.9,171.6,38.3,14.9,9.6
9.0000018,191.1,45.6,32.8,26.1,171.2,38.2,14.9,9.7
9.01666847,190.5,45.4,32.6,25.9,170.7,38.2,14.9,9.7
9.03333514,190.1,45.2,32.5,25.8,170.1,38.1,14.8,9.6
9.05000181,189.6,45.2,32.5,25.8,169.7,38.1,14.9,9.6
9.06666848,189.2,45.2,32.6,25.9,169.2,38.1,14.9,9.6
9.08333515,188.9,45.3,32.7,26.1,168.6,37.9,14.7,9.5
9.10000182,188.4,45.3,32.8,26.1,167.8,37.3,14.3,9.2
9.11666849,188,45.3,32.7,26.1,167.4,37.7,14.5,9.3
9.13333516,187.6,45.3,32.8,26.1,166.8,37.6,14.3,9.2
9.15000183,187,45.2,32.7,26,166.3,37.7,14.4,9.3
9.1666685,186.5,45.2,32.7,26.1,165.7,37.5,14.3,9.1
9.18333517,186.1,45.1,32.6,26,165.1,37.4,14.2,9.1
9.20000184,185.6,44.9,32.5,25.9,164.7,37.3,14.2,9.1
9.21666851,185.3,44.9,32.5,25.9,164.3,37.5,14.3,9.2
9.23333518,184.7,44.7,32.4,25.8,163.7,37.3,14.2,9.2
9.25000185,184.4,44.9,32.5,26,163.3,37.2,14.2,9.2
9.26666852,183.9,44.6,32.3,25.8,162.9,37.3,14.2,9.3
9.28333519,183.5,44.6,32.3,25.8,162.3,37.1,14,9.1
9.30000186,183.1,44.7,32.5,26,161.8,37.1,14,9.1
9.31666853,182.7,44.7,32.5,26,161.3,37.3,14.2,9.2
9.3333352,182.3,44.8,32.6,26.1,160.6,37.2,14.1,9
9.35000187,181.7,44.5,32.4,25.9,160,37.1,13.9,8.9
9.36666854,181.4,44.5,32.4,26,159.6,37,13.9,9
9.38333521,180.8,44.1,32.1,25.6,159,37.2,13.9,9
9.40000188,180.4,44.1,32,25.6,158.6,37,13.9,9
9.41666855,180,44.1,32.1,25.7,158.1,37,13.9,9
9.43333522,179.6,44,32,25.6,157.6,36.8,13.7,8.9
9.45000189,179.1,44,32,25.6,157.2,36.8,13.7,9
9.46666856,178.7,43.9,31.9,25.6,156.7,36.8,13.7,8.9
9.48333523,178.3,43.8,31.9,25.6,156.3,36.6,13.7,8.9
9.5000019,177.9,43.8,31.9,25.6,155.9,36.6,13.8,8.9
9.51666857,177.5,43.8,31.9,25.6,155.5,36.5,13.7,8.9
9.53333524,177.1,43.7,31.9,25.6,154.9,36.2,13.5,8.7
9.55000191,176.6,43.6,31.8,25.5,154.6,36.3,13.6,8.9
9.56666858,176.2,43.6,31.8,25.5,154.2,36.4,13.7,9
9.58333525,175.8,43.5,31.8,25.5,153.6,36.1,13.5,8.7
9.60000192,175.4,43.5,31.8,25.5,153.3,36.1,13.6,8.8
9.61666859,175.1,43.4,31.8,25.5,152.8,36,13.5,8.8
9.63333526,174.7,43.4,31.8,25.5,152.5,36.1,13.6,8.9
9.65000193,174.3,43.4,31.8,25.5,152,35.8,13.4,8.7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
