Elapsed time (Hours),contact_50wet,20cm_50wet,40cm_50wet,60cm_50wet,contact_50dry,20cm_50dry,40cm_50dry,60cm_50dry
10.65,86.7,41.75,35.6,30.6,,,,
10.6666667,86.45,41.75,35.6,30.6,,,,
10.6833333,86.2,41.6,35.5,30.7,,,,
10.7,85.9,41.6,35.5,30.6,,,,
10.7166667,85.65,41.5,35.4,30.5,,,,
10.7333333,85.45,41.5,35.4,30.5,,,,
10.75,85.15,41.4,35.2,30.3,,,,
10.7666667,84.95,41.35,35.4,30.5,,,,
10.7833333,84.8,41.45,35.5,30.7,,,,
10.8,84.5,41.15,35.1,30.6,,,,
10.8166667,84.25,41.2,35.2,30.5,,,,
10.8333333,84.2,41.2,35.1,30.6,,,,
10.85,84,41.25,35.1,30.5,,,,
10.8666667,83.7,41.1,35.1,30.3,,,,
10.8833333,83.45,41.1,35.1,30.4,,,,
10.9,83.25,40.95,35.1,30.4,,,,
10.9166667,83,40.9,35.1,30.4,,,,
10.9333333,82.75,40.85,35.1,30.4,,,,
10.95,82.5,40.65,35,30.3,,,,
10.9666667,82.3,40.65,35.1,30.4,,,,
10.9833333,81.9,40.4,35,30.3,,,,
11,81.65,40.35,35,30.3,,,,
11.0166667,81.45,40.3,35,30.3,,,,
11.0333333,81.25,40.2,35,30.2,,,,
11.05,80.9,40.1,35,30.2,,,,
11.0666667,80.7,40.05,35,30.2,,,,
11.0833333,80.45,40,35,30.2,,,,
11.1,80.2,39.9,35,30.3,,,,
11.1166667,79.9,39.75,35,30.3,,,,
11.1333333,79.7,39.7,34.9,30.2,,,,
11.15,79.45,39.65,34.9,30.3,,,,
11.1666667,79.15,39.5,34.9,30.3,,,,
11.1833333,106.7,45,34.8,30.2,,,,
11.2,106.5,44.9,34.8,30.2,,,,
11.2166667,106.2,44.9,34.8,30.3,,,,
11.2333333,105.9,44.8,34.7,30.2,,,,
11.25,105.6,44.7,34.7,30.2,,,,
11.2666667,105.3,44.7,34.7,30.1,,,,
11.2833333,105,44.6,34.6,30.1,,,,
11.3,104.8,44.6,34.7,30.1,,,,
11.3166667,104.6,44.7,34.8,30.3,,,,
11.3333333,104.3,44.6,34.7,30.2,,,,
11.35,104.1,44.5,34.6,30.2,,,,
11.3666667,103.7,44.4,34.6,30.2,,,,
11.3833333,103.5,44.4,34.6,30.2,,,,
11.4,103.1,44.2,34.4,30.1,,,,
11.4166667,102.8,44.2,34.4,30,,,,
11.4333333,102.6,44.1,34.4,30,,,,
11.45,102.3,44.1,34.4,30,,,,
11.4666667,102.1,44,34.3,29.9,,,,
11.4833333,101.7,43.9,34.2,29.9,,,,
11.5,101.5,43.8,34.2,29.9,,,,
11.5166667,101.3,43.9,34.3,30,,,,
11.5333333,101.1,43.8,34.2,30,,,,
11.55,100.8,43.8,34.2,29.9,,,,
11.5666667,100.5,43.7,34.2,29.9,,,,
11.5833333,100.3,43.7,34.2,30,,,,
11.6,100.1,43.7,34.2,30,,,,
11.6166667,99.8,43.7,34.2,30,,,,
11.6333333,99.6,43.7,34.2,30,,,,
11.65,99.3,43.6,34.2,30,,,,
11.6666667,99.1,43.5,34.2,29.9,,,,
11.6833333,98.8,43.4,34,29.9,,,,
11.7,98.6,43.4,34.1,29.9,,,,
11.7166667,98.3,43.3,34,29.8,,,,
11.7333333,98.1,43.3,34,29.8,,,,
11.75,97.8,43.2,33.8,30,,,,
11.7666667,97.6,43.2,33.9,29.7,,,,
11.7833333,97.2,43.1,33.9,29.7,,,,
11.8,97.1,43.1,33.9,29.8,,,,
11.8166667,96.8,43,33.8,29.8,,,,
11.8333333,96.5,42.9,33.8,29.7,,,,
11.85,96.2,42.8,33.6,29.8,,,,
11.8666667,96,42.8,33.7,29.6,,,,
11.8833333,95.8,42.7,33.6,29.6,,,,
11.9,95.5,42.6,33.6,29.6,,,,
11.9166667,95.3,42.6,33.6,29.6,,,,
11.9333333,95,42.5,33.6,29.6,,,,
11.95,94.8,42.5,33.6,29.5,,,,
11.9666667,94.5,42.4,33.5,29.5,,,,
11.9833333,94.4,42.3,33.5,29.4,,,,
12,94.1,42.3,33.4,29.4,,,,
12.0166667,93.9,42.2,33.4,29.4,,,,
12.0333333,93.6,42.2,33.4,29.4,,,,
12.05,93.7,42.6,33.7,29.8,,,,
12.0666667,93.5,42.5,33.7,29.8,,,,
12.0833333,93.2,42.3,33.6,29.6,,,,
12.1,92.9,42.3,33.5,29.6,,,,
12.1166667,92.2,41.4,33.1,29.2,,,,
12.1333333,92.2,41.9,33.6,29.4,,,,
12.15,91.9,41.9,33.5,29.3,,,,
12.1666667,92,42.1,33.5,29.6,,,,
12.1833333,91.7,41.9,33.3,29.4,,,,
12.2,91.4,41.9,33.4,29.5,,,,
12.2166667,90.6,41,32.5,28.7,,,,
12.2333333,90.3,40.9,32.8,28.9,,,,
12.25,90.2,40.9,32.8,28.8,,,,
12.2666667,90,41.1,32.9,28.9,,,,
12.2833333,89.7,41.1,32.9,29,,,,
12.3,89.5,41,32.9,29,,,,
12.3166667,89.3,41,32.9,29,,,,
12.3333333,89,41.1,32.9,29.1,,,,
12.35,88.8,41,32.9,29,,,,
12.3666667,88.5,40.9,32.9,29,,,,
12.3833333,88.3,40.9,32.8,28.9,,,,
12.4,88.1,41,33,29,,,,
12.4166667,87.8,40.9,32.9,29,,,,
12.4333333,87.7,41,33,29.1,,,,
12.45,87.5,40.9,32.9,29.1,,,,
12.4666667,87.2,40.9,32.9,29.1,,,,
12.4833333,86.9,40.8,32.9,29.1,,,,
12.5,86.6,40.8,32.8,29,,,,
12.5166667,86.3,40.7,32.8,28.9,,,,
12.5333333,86.1,40.7,32.9,29.1,,,,
12.55,85.7,40.6,32.7,28.9,,,,
12.5666667,85.4,40.5,32.6,28.8,,,,
12.5833333,85,40.4,32.6,28.8,,,,
12.6,84.7,40.4,32.5,28.7,,,,
12.6166667,84.4,40.2,32.4,28.6,,,,
12.6333333,84.2,40.3,32.5,28.7,,,,
12.65,83.8,40.2,32.5,28.7,,,,
12.6666667,83.5,40.1,32.4,28.7,,,,
12.6833333,83.2,40.1,32.4,28.7,,,,
12.7,82.9,40.1,32.4,28.7,,,,
12.7166667,82.7,40.1,32.4,28.7,,,,
12.7333333,82.4,40,32.4,28.7,,,,
12.75,82.1,40,32.4,28.7,,,,
12.7666667,81.8,40,32.4,28.7,,,,
12.7833333,81.5,39.8,32.3,28.7,,,,
12.8,81.2,39.8,32.3,28.7,,,,
12.8166667,80.8,39.8,32.2,28.6,,,,
12.8333333,80.5,39.7,32.2,28.5,,,,
12.85,80.2,39.7,32.2,28.7,,,,
12.8666667,79.9,39.7,32.2,28.6,,,,
12.8833333,79.6,39.6,32.2,28.6,,,,
12.9,79.3,39.6,32.2,28.6,,,,
